h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,1.37,1.15,1.69,0.97,3.9,3.27,4.3,0.82,7.75,6.58,8.27,0.34
2,2.55,2.14,2.94,0.92,4.61,3.88,5.12,0.75,7.98,6.76,8.48,0.33
3,3.62,3.06,4.09,0.84,5.17,4.33,5.58,0.71,8.17,6.91,8.65,0.3
4,4.5,3.81,5.15,0.76,6.08,5.07,6.51,0.62,8.4,7.08,8.86,0.29
