h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,15.81,13.59,13.59,,13.86,11.92,11.92,,6.78,5.83,5.83,
2,11.52,10.29,10.29,,12.74,11.38,11.38,,1.28,1.15,1.15,
3,12.91,11.39,11.39,,12.0,10.58,10.58,,1.05,0.92,0.92,
4,19.69,16.38,16.38,,17.16,14.28,14.28,,5.63,4.69,4.69,
