h,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2
1,21.464839766931657,13.157946777343753,13.157946777343753,
2,23.47326327386278,13.778805541992185,13.778805541992185,
3,27.081269067595247,15.273835754394533,15.273835754394533,
4,34.611200929821564,18.551603698730467,18.551603698730467,
