h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,0.57,0.55,0.55,,1.51,1.46,1.46,,1.36,1.31,1.31,
2,1.14,1.1,1.1,,1.87,1.8,1.8,,1.77,1.7,1.7,
3,1.2,1.15,1.15,,2.0,1.92,1.92,,1.79,1.72,1.72,
4,1.67,1.59,1.59,,2.18,2.08,2.08,,2.14,2.05,2.05,
