origin,h,y_true,y_pred,abs_err,squared_err,model
2025-02-01,1,87.7,96.64,8.94,79.85,ARIMA
2025-02-01,2,76.4,96.65,20.25,410.09,ARIMA
2025-02-01,3,62.9,96.66,33.76,1139.5,ARIMA
2025-02-01,4,55.8,96.66,40.86,1669.46,ARIMA
