h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,1.3,1.14,1.53,0.96,2.98,2.6,3.38,0.81,5.32,4.68,5.96,0.4
2,2.28,2.0,2.67,0.88,3.59,3.14,4.0,0.73,5.5,4.85,6.14,0.37
3,2.95,2.59,3.46,0.8,3.96,3.46,4.48,0.67,5.57,4.9,6.24,0.35
4,3.71,3.26,4.33,0.69,4.46,3.9,4.95,0.59,5.72,5.04,6.39,0.32
