h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,0.5907518456743146,0.48087200238479966,0.48087200238479966,,2.5849192699119627,2.104124285734187,2.104124285734187,
2,0.9544741629014366,0.7645338044935954,0.7645338044935954,,4.508680192454026,3.6114528342007617,3.6114528342007617,
3,2.586222234525831,2.0172533429560104,2.0172533429560104,,5.733793012666123,4.472358549936914,4.472358549936914,
4,5.326573103737382,4.010909547167515,4.010909547167515,,6.441784394775654,4.850663649330485,4.850663649330485,
