h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,10.19,8.94,8.94,,0.31,0.27,0.27,,9.44,8.28,8.28,
2,26.51,20.25,20.25,,15.4,11.77,11.77,,26.64,20.36,20.36,
3,53.67,33.76,33.76,,38.73,24.36,24.36,,50.31,31.65,31.65,
4,73.22,40.86,40.86,,56.16,31.34,31.34,,61.21,34.15,34.15,
