origin,h,y_true,y_pred,abs_err,squared_err,model
2025-05-22,1,83.1,83.25,0.15,0.02,ARIMA
2025-05-22,2,81.4,82.13,0.73,0.53,ARIMA
2025-05-22,3,80.1,81.19,1.09,1.19,ARIMA
2025-05-22,4,78.0,80.41,2.41,5.82,ARIMA
