origin,h,y_true,y_pred,abs_err,squared_err,model
2025-05-25,1,68.1,80.89,12.79,163.6,REGRESSION
2025-05-25,2,63.7,79.12,15.42,237.69,REGRESSION
2025-05-25,3,61.1,77.25,16.15,260.68,REGRESSION
2025-05-25,4,57.8,75.3,17.5,306.19,REGRESSION
