h,ARIMA_MAPE,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,LSTM_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_R2,REGRESSION_MAPE,REGRESSION_MAE,REGRESSION_RMSE,REGRESSION_R2
1,3.95,2.69,2.69,,28.47,19.39,19.39,,18.78,12.79,12.79,
2,13.68,8.72,8.72,,36.5,23.25,23.25,,24.2,15.42,15.42,
3,17.6,10.75,10.75,,38.28,23.39,23.39,,26.43,16.15,16.15,
4,24.65,14.25,14.25,,47.22,27.29,27.29,,30.27,17.5,17.5,
