station_name,date,value,quality
Crudwell,2023-09-04T07:58:00,84.07,Good
Spoondell,2023-09-05T08:06:00,127.04,Good
Ponyfield,2023-09-05T08:17:00,-2.11,Good
Rats Pen Lane Chalk,2023-09-06T05:52:00,7.45,Good
Trowley Bottom Farm,2023-09-06T14:47:00,107.41,Good
Sutton Top Field Spinney,2023-09-08T09:58:00,17.31,Good
Sutton Heath Road,2023-09-08T10:01:00,18.71,Good
Plucks Gutter,2023-09-08T12:18:00,0.9,Good
North Stoke,2023-09-08T13:45:00,2.968,Good
Thames Head,2023-09-11T10:23:00,98.26,Good
Grange Farm West Wratting,2023-09-11T11:09:00,64.58,Good
Pickworth,2023-09-12T08:28:00,23.23,Good
Jevington,2023-09-12T10:00:00,29.19,Good
Tollgate,2023-09-13T08:40:00,9.71,Good
Marlston Farm,2023-09-13T12:00:00,69.53,Good
Wested Farm,2023-09-14T07:48:00,41.99,Good
Whitworth Hall,2023-09-14T09:06:00,54.75,Good
Willow Tree Farm,2023-09-14T10:09:00,71.145,Good
Lynstead,2023-09-14T10:32:00,18.433,Good
Aughton Cliffs Farm,2023-09-14T10:40:00,17.33,Good
Blowing Stone Cottage,2023-09-15T07:23:00,110.71,Good
Itteringham 2,2023-09-18T08:27:00,30.44,Good
Old Hall,2023-09-18T08:50:00,38.14,Good
Ingleby,2023-09-18T09:39:00,45.84,Good
Black Hall Farm,2023-09-19T08:01:00,105.1,Good
East Leake,2023-09-19T09:02:00,28.27,Good
Amotherby,2023-09-19T09:15:00,16.34,Good
Old Mill Farm T,2023-09-19T10:04:00,12.62,Good
Old Mill Farm B,2023-09-19T10:09:00,12.487,Good
Lydeards Hill,2023-09-19T10:17:00,318.11,Good
Isleham Fen,2023-09-19T14:44:00,-3.44,Good
Winchester Guildhall,2023-09-20T08:38:00,35.7,Good
Frome,2023-09-20T08:52:00,54.7,Good
Pipe Green,2023-09-21T11:28:00,81.12,Good
Hornsea,2023-09-21T11:58:00,16.38,Good
Sherburn Quarry 3,2023-09-22T11:08:00,17.038,Good
West Cowick,2023-09-25T08:47:00,4.796,Good
Wrelton Paddock,2023-09-25T13:31:00,30.06,Good
Slough Farm,2023-09-26T09:00:00,1.71,Good
Myddlewood,2023-09-26T09:10:00,61.08,Good
Hungerdowns Farm,2023-09-26T10:03:00,32.42,Good
Upavon Deep,2023-09-26T13:51:00,89.98,Good
